id,product_name,buying_price,selling_price,bought_quantity,current_quantity,rate_of_returns,shelf_life,turnover_rate,supplier_lead_time,transportation_cost,previous_restock_time,quantity_to_buy
1,Luxury Cashmere Coat,1200.0,2500.0,300,150,0.02,365,0.5,7,30,14,10
2,Designer Silk Gown,1500.0,3500.0,150,80,0.01,180,0.8,14,50,21,5
3,Handcrafted Leather Jacket,1800.0,4000.0,250,100,0.02,365,0.6,10,40,10,15
4,High-end Business Suit,2000.0,4500.0,100,50,0.03,365,0.7,8,35,10,8
5,Exquisite Wedding Dress,2500.0,6000.0,80,40,0.01,180,0.9,12,45,18,4
6,Luxury Denim Overalls,1800.0,3500.0,180,60,0.02,365,0.5,6,25,12,10
7,Bespoke Tailored Tuxedo,3000.0,7000.0,120,40,0.04,365,0.4,6,28,15,5
8,Haute Couture Evening Gown,3500.0,8000.0,50,20,0.01,180,0.7,9,38,20,2
9,Artisanal Embroidered Jacket,2000.0,4500.0,150,50,0.03,365,0.6,5,22,8,6
10,Luxury Velvet Blazer,2800.0,6000.0,80,30,0.02,365,0.8,7,32,13,4
11,Statement Sequin Dress,3500.0,7500.0,120,50,0.02,180,0.7,9,38,18,3
12,Handwoven Cashmere Scarf,1200.0,2500.0,180,60,0.01,365,0.8,5,22,8,12
13,Modern Leather Blazer,2000.0,4200.0,140,70,0.03,365,0.7,8,35,10,14
14,Ethnic Embroidered Dress,1800.0,3500.0,100,40,0.01,180,0.8,11,42,19,8
15,Luxe Silk Kimono,2500.0,5500.0,120,60,0.02,365,0.6,9,38,18,10
16,Timeless Wool Peacoat,1800.0,3800.0,80,30,0.01,365,0.9,12,45,18,6
17,Chic Linen Jumpsuit,1500.0,3200.0,110,55,0.02,180,0.5,10,40,14,12
18,Leather Biker Jacket,2200.0,4800.0,100,50,0.03,365,0.7,8,35,10,15
19,Bohemian Maxi Skirt,1200.0,2500.0,130,65,0.02,365,0.8,7,32,13,10
20,Classic Wool Blazer,2800.0,6000.0,90,40,0.02,365,0.7,9,38,18,5
21,Floral Lace Evening Gown,3500.0,7500.0,150,70,0.01,180,0.8,11,42,19,4
22,Vintage Wool Fedora,1800.0,3500.0,180,80,0.02,365,0.6,9,38,18,8
23,Chiffon Pleated Dress,2000.0,4200.0,100,40,0.03,180,0.7,8,35,10,12
24,Luxury Leather Handbag,2500.0,5500.0,120,60,0.02,365,0.5,10,40,14,14
25,Embroidered Cashmere Sweater,1200.0,2500.0,90,45,0.01,365,0.9,12,45,18,6
26,Statement Fringe Jacket,1800.0,3800.0,100,50,0.02,365,0.8,11,42,19,10
